Chapters Overall,Chapters in Book,Chapter Title
1,1,The Boy Who Lived
2,2,The Vanishing Glass
3,3,The Letters from No One
4,4,The Keeper of Keys
5,5,Diagon Alley
6,6,The Journey from Platform Nine and Three-Quarters
7,7,The Sorting Hat
8,8,The Potions Master
9,9,The Midnight Duel
10,10,Halloween
11,11,Quidditch
12,12,The Mirror of Erised
13,13,Nicholas Flamel
14,14,Norbert the Norwegian Ridgeback
15,15,The Forbidden Forest
16,16,Through the Trapdoor
17,17,The Man with Two Faces
18,1,The Worst Birthday
19,2,Dobby¡¯s Warning
20,3,The Burrow
21,4,At Flourish and Blotts
22,5,The Whomping Willow
23,6,Gilderoy Lockhart
24,7,Mudbloods and Murmurs
25,8,The Deathday Party
26,9,The Writing on the Wall
27,10,The Rogue Bludger
28,11,The Duelling Club
29,12,The Polyjuice Potion
30,13,The Very Secret Diary
31,14,Cornelius Fudge
32,15,Aragog
33,16,The Chamber of Secrets
34,17,The Heir of Slytherin
35,18,Dobby¡¯s Reward
36,1,Owl Post
37,2,Aunt Marge¡¯s Big Mistake
38,3,The Knight Bus
39,4,The Leaky Cauldron
40,5,The Dementor
41,6,Talons and Tea Leaves
42,7,The Boggart in the Wardrobe
43,8,Flight of the Fat Lady
44,9,Grim Defeat
45,10,The Marauder's Map
46,11,The Firebolt
47,12,The Patronus
48,13,Gryffindor versus Ravenclaw
49,14,Snape's Grudge
50,15,The Quidditch Final
51,16,Professor Trelawney's Prediction
52,17,"Cat, Rat, and Dog"
53,18,"Moony, Wormtail, Padfoot and Prongs"
54,19,The Servant of Lord Voldemort
55,20,The Dementor¡¯s Kiss
56,21,Hermione¡¯s Secret
57,22,Owl Post Again
58,1,The Riddle House
59,2,The Scar
60,3,The Invitation
61,4,Back to the Burrow
62,5,Weasley¡¯s Wizard Wheezes
63,6,The Portkey
64,7,Bagman and Crouch
65,8,The Quidditch World Cup
66,9,The Dark Mark
67,10,Mayhem at the Ministry
68,11,Aboard the Hogwarts Express
69,12,The Triwizard Tournament
70,13,Mad-Eye Moody
71,14,The Unforgivable Curses
72,15,Beauxbatons and Durmstrang
73,16,The Goblet of Fire
74,17,The Four Champions
75,18,The Weighing of the Wands
76,19,The Hungarian Horntail
77,20,The First Task
78,21,The House-Elf Liberation Front
79,22,The Unexpected Task
80,23,The Yule Ball
81,24,Rita Skeeter¡¯s Scoop
82,25,The Egg and the Eye
83,26,The Second Task
